1.91e-14  1.79e-11  2.94e-20  1.79e-11  2.94e-20  1.79e-11  2.94e-20  1.79e-11  2.94e-20  1.79e-11  2.94e-20  1.79e-11  2.94e-20  1.79e-11  2.94e-20  
3.84e-14  3.61e-11  2.09e-19  3.61e-11  2.09e-19  3.61e-11  2.09e-19  3.61e-11  2.09e-19  3.61e-11  2.09e-19  3.61e-11  2.09e-19  3.61e-11  2.09e-19  
1.55e-13  1.46e-10  5.54e-18  1.46e-10  5.54e-18  1.46e-10  5.54e-18  1.46e-10  5.54e-18  1.46e-10  5.54e-18  1.46e-10  5.54e-18  1.46e-10  5.54e-18  
3.11e-13  2.92e-10  2.38e-17  2.92e-10  2.38e-17  2.92e-10  2.38e-17  2.92e-10  2.38e-17  2.92e-10  2.38e-17  2.92e-10  2.38e-17  2.92e-10  2.38e-17  
6.25e-13  5.88e-10  9.50e-17  5.88e-10  9.50e-17  5.88e-10  9.50e-17  5.88e-10  9.50e-17  5.88e-10  9.50e-17  5.88e-10  9.50e-17  5.88e-10  9.50e-17  
2.52e-12  2.37e-09  1.31e-15  2.37e-09  1.31e-15  2.37e-09  1.31e-15  2.37e-09  1.31e-15  2.37e-09  1.31e-15  2.37e-09  1.31e-15  2.37e-09  1.31e-15  
5.07e-12  4.77e-09  4.63e-15  4.77e-09  4.63e-15  4.77e-09  4.63e-15  4.77e-09  4.63e-15  4.77e-09  4.63e-15  4.77e-09  4.63e-15  4.77e-09  4.63e-15  
2.05e-11  1.92e-08  5.45e-14  1.92e-08  5.45e-14  1.92e-08  5.45e-14  1.92e-08  5.45e-14  1.92e-08  5.45e-14  1.92e-08  5.45e-14  1.92e-08  5.45e-14  
4.11e-11  3.87e-08  1.83e-13  3.87e-08  1.83e-13  3.87e-08  1.83e-13  3.87e-08  1.83e-13  3.87e-08  1.83e-13  3.87e-08  1.83e-13  3.87e-08  1.83e-13  
1.32e-10  1.24e-07  1.35e-12  1.24e-07  1.35e-12  1.24e-07  1.35e-12  1.24e-07  1.35e-12  1.24e-07  1.35e-12  1.24e-07  1.35e-12  1.24e-07  1.35e-12  
2.65e-10  2.49e-07  4.42e-12  2.49e-07  4.42e-12  2.49e-07  4.42e-12  2.49e-07  4.42e-12  2.49e-07  4.42e-12  2.49e-07  4.42e-12  2.49e-07  4.42e-12  
5.31e-10  4.99e-07  1.44e-11  4.99e-07  1.44e-11  4.99e-07  1.44e-11  4.99e-07  1.44e-11  4.99e-07  1.44e-11  4.99e-07  1.44e-11  4.99e-07  1.44e-11  
2.15e-09  0.000002  1.22e-10  0.000002  1.22e-10  0.000002  1.22e-10  0.000002  1.22e-10  0.000002  1.22e-10  0.000002  1.22e-10  0.000002  1.22e-10  
4.31e-09  0.000004  3.38e-10  0.000004  3.38e-10  0.000004  3.38e-10  0.000004  3.38e-10  0.000004  3.38e-10  0.000004  3.38e-10  0.000004  3.38e-10  
1.38e-08  0.000013  1.76e-09  0.000013  1.76e-09  0.000013  1.76e-09  0.000013  1.76e-09  0.000013  1.76e-09  0.000013  1.76e-09  0.000013  1.76e-09  
3.50e-08  0.000033  6.28e-09  0.000033  6.28e-09  0.000033  6.28e-09  0.000033  6.28e-09  0.000033  6.28e-09  0.000033  6.28e-09  0.000033  6.28e-09  
7.02e-08  0.000066  1.60e-08  0.000066  1.60e-08  0.000066  1.60e-08  0.000066  1.60e-08  0.000066  1.60e-08  0.000066  1.60e-08  0.000066  1.60e-08  
2.83e-07  0.000266  9.88e-08  0.000266  9.88e-08  0.000266  9.88e-08  0.000266  9.88e-08  0.000266  9.88e-08  0.000266  9.88e-08  0.000266  9.88e-08  
5.69e-07  0.000535  2.42e-07  0.000535  2.42e-07  0.000535  2.42e-07  0.000535  2.42e-07  0.000535  2.42e-07  0.000535  2.42e-07  0.000535  2.42e-07  
0.003274  3.111484  0.003345  3.111484  0.003345  3.111484  0.003345  3.111484  0.003345  3.111484  0.003345  3.111484  0.003345  3.111484  0.003345  
0.003571  3.393808  0.003709  3.393808  0.003709  3.393808  0.003709  3.393808  0.003709  3.393808  0.003709  3.393808  0.003709  3.393808  0.003709  
0.003867  3.676152  0.004094  3.676152  0.004094  3.676152  0.004094  3.676152  0.004094  3.676152  0.004094  3.676152  0.004094  3.676152  0.004094  
0.004164  3.958536  0.004498  3.958536  0.004498  3.958536  0.004498  3.958536  0.004498  3.958536  0.004498  3.958536  0.004498  3.958536  0.004498  
0.004460  4.240940  0.004922  4.240940  0.004922  4.240940  0.004922  4.240940  0.004922  4.240940  0.004922  4.240940  0.004922  4.240940  0.004922  
0.004855  4.617532  0.005516  4.617532  0.005516  4.617532  0.005516  4.617532  0.005516  4.617532  0.005516  4.617532  0.005516  4.617532  0.005516  
0.005151  4.900006  0.005983  4.900006  0.005983  4.900006  0.005983  4.900006  0.005983  4.900006  0.005983  4.900006  0.005983  4.900006  0.005983  
0.005448  5.182510  0.006468  5.182510  0.006468  5.182510  0.006468  5.182510  0.006468  5.182510  0.006468  5.182510  0.006468  5.182510  0.006468  
0.005744  5.465034  0.006970  5.465034  0.006970  5.465034  0.006970  5.465034  0.006970  5.465034  0.006970  5.465034  0.006970  5.465034  0.006970  
0.006040  5.747585  0.007489  5.747585  0.007489  5.747585  0.007489  5.747585  0.007489  5.747585  0.007489  5.747585  0.007489  5.747585  0.007489  
0.006534  6.218579  0.008389  6.218579  0.008389  6.218579  0.008389  6.218579  0.008389  6.218579  0.008389  6.218579  0.008389  6.218579  0.008389  
0.006929  6.595412  0.009141  6.595412  0.009141  6.595412  0.009141  6.595412  0.009141  6.595412  0.009141  6.595412  0.009141  6.595412  0.009141  
0.007323  6.972289  0.009919  6.972289  0.009919  6.972289  0.009919  6.972289  0.009919  6.972289  0.009919  6.972289  0.009919  6.972289  0.009919  
0.007718  7.349212  0.010724  7.349212  0.010724  7.349212  0.010724  7.349212  0.010724  7.349212  0.010724  7.349212  0.010724  7.349212  0.010724  
0.008211  7.820436  0.011764  7.820436  0.011764  7.820436  0.011764  7.820436  0.011764  7.820436  0.011764  7.820436  0.011764  7.820436  0.011764  
0.008606  8.197448  0.012624  8.197448  0.012624  8.197448  0.012624  8.197448  0.012624  8.197448  0.012624  8.197448  0.012624  8.197448  0.012624  
0.008902  8.480227  0.013284  8.480227  0.013284  8.480227  0.013284  8.480227  0.013284  8.480227  0.013284  8.480227  0.013284  8.480227  0.013284  
0.009395  8.951602  0.014413  8.951602  0.014413  8.951602  0.014413  8.951602  0.014413  8.951602  0.014413  8.951602  0.014413  8.951602  0.014413  
0.009888  9.423022  0.015577  9.423022  0.015577  9.423022  0.015577  9.423022  0.015577  9.423022  0.015577  9.423022  0.015577  9.423022  0.015577  
0.034584  32.68263  0.089390  32.68263  0.089390  32.68263  0.089390  32.68263  0.089390  32.68263  0.089390  32.68263  0.089390  32.68263  0.089390  
0.051308  48.54564  0.162627  48.54564  0.162627  48.54564  0.162627  48.54564  0.162627  48.54564  0.162627  48.54564  0.162627  48.54564  0.162627  
0.068031  64.43719  0.255243  64.43719  0.255243  64.43719  0.255243  64.43719  0.255243  64.43719  0.255243  64.43719  0.255243  64.43719  0.255243  
0.084755  80.36209  0.402168  80.36209  0.402168  80.36209  0.402168  80.36209  0.402168  80.36209  0.402168  80.36209  0.402168  80.36209  0.402168  
0.101479  96.32306  0.611357  96.32306  0.611357  96.32306  0.611357  96.32306  0.611357  96.32306  0.611357  96.32306  0.611357  96.32306  0.611357  
0.118202  112.3285  0.901633  112.3285  0.901633  112.3285  0.901633  112.3285  0.901633  112.3285  0.901633  112.3285  0.901633  112.3285  0.901633  
0.134926  128.3901  1.301346  128.3901  1.301346  128.3901  1.301346  128.3901  1.301346  128.3901  1.301346  128.3901  1.301346  128.3901  1.301346  
0.151649  144.5048  1.805446  144.5048  1.805446  144.5048  1.805446  144.5048  1.805446  144.5048  1.805446  144.5048  1.805446  144.5048  1.805446  
0.168373  160.6971  2.468956  160.6971  2.468956  160.6971  2.468956  160.6971  2.468956  160.6971  2.468956  160.6971  2.468956  160.6971  2.468956  
0.185096  176.9599  3.279183  176.9599  3.279183  176.9599  3.279183  176.9599  3.279183  176.9599  3.279183  176.9599  3.279183  176.9599  3.279183  
0.201820  193.3094  4.274858  193.3094  4.274858  193.3094  4.274858  193.3094  4.274858  193.3094  4.274858  193.3094  4.274858  193.3094  4.274858  
0.218544  209.7648  5.487583  209.7648  5.487583  209.7648  5.487583  209.7648  5.487583  209.7648  5.487583  209.7648  5.487583  209.7648  5.487583  
0.235267  226.3000  6.837089  226.3000  6.837089  226.3000  6.837089  226.3000  6.837089  226.3000  6.837089  226.3000  6.837089  226.3000  6.837089  
0.251991  242.9713  8.427551  242.9713  8.427551  242.9713  8.427551  242.9713  8.427551  242.9713  8.427551  242.9713  8.427551  242.9713  8.427551  
0.268714  259.7615  10.32537  259.7615  10.32537  259.7615  10.32537  259.7615  10.32537  259.7615  10.32537  259.7615  10.32537  259.7615  10.32537  
0.285438  276.6500  12.56953  276.6500  12.56953  276.6500  12.56953  276.6500  12.56953  276.6500  12.56953  276.6500  12.56953  276.6500  12.56953  
0.302162  293.6964  15.15129  293.6964  15.15129  293.6964  15.15129  293.6964  15.15129  293.6964  15.15129  293.6964  15.15129  293.6964  15.15129  
0.320000  312.0479  18.20831  312.0479  18.20831  312.0479  18.20831  312.0479  18.20831  312.0479  18.20831  312.0479  18.20831  312.0479  18.20831  
0.330000  322.4095  20.91257  322.4095  20.91257  322.4095  20.91257  322.4095  20.91257  322.4095  20.91257  322.4095  20.91257  322.4095  20.91257  
0.375000  370.2057  37.17366  370.2057  37.17366  370.2057  37.17366  370.2057  37.17366  370.2057  37.17366  370.2057  37.17366  370.2057  37.17366  
0.420000  420.4216  61.90368  420.4216  61.90368  420.4216  61.90368  420.4216  61.90368  420.4216  61.90368  420.4216  61.90368  420.4216  61.90368  
0.465000  473.8467  97.86624  473.8467  97.86624  473.8467  97.86624  473.8467  97.86624  473.8467  97.86624  473.8467  97.86624  473.8467  97.86624  
0.510000  529.8505  112.4110  530.0903  117.7246  530.3377  123.2895  530.5930  129.1173  530.8563  135.2207  531.1280  141.6126  531.4084  148.3066  
0.566087  601.4845  131.4553  602.7572  145.0418  604.1176  160.0326  605.5725  176.5727  607.1292  194.8223  608.7957  214.9580  610.5807  237.1749  
0.622174  675.0554  151.4681  678.2717  175.2067  681.8241  202.6656  685.7520  234.4280  690.0999  271.1683  694.9178  313.6666  700.2622  362.8254  
0.678261  750.4736  172.4045  756.6338  208.2191  763.6472  251.4736  771.6467  303.7137  780.7872  366.8058  791.2497  443.0045  803.2456  535.0324  
0.734348  827.6609  194.2255  837.8436  244.0791  849.7687  306.7292  863.7718  385.4602  880.2571  484.3998  899.7125  608.7351  922.7276  764.9848  
0.790435  906.5482  216.8965  921.9009  282.7868  940.3628  368.6936  962.6425  480.6979  989.6204  626.7275  1022.393  817.1189  1062.327  1065.349  
0.846522  987.0742  240.3868  1008.806  324.3420  1035.597  437.6187  1068.774  590.4572  1110.032  796.6746  1161.544  1074.914  1226.103  1450.328  
0.902609  1069.184  264.6688  1098.558  368.7449  1135.634  513.7470  1182.682  715.7685  1242.687  997.2313  1319.583  1389.374  1418.567  1935.720  
0.958696  1152.826  289.7174  1191.159  415.9954  1240.630  597.3136  1304.880  857.6623  1388.822  1231.488  1499.095  1768.252  1644.707  2538.973  
1.014783  1237.956  315.5099  1286.606  466.0935  1350.736  688.5462  1435.885  1017.169  1549.712  1502.634  1702.829  2219.797  1909.993  3279.240  
1.070870  1324.533  342.0254  1384.902  519.0392  1466.100  787.6658  1576.212  1195.319  1726.671  1813.951  1933.701  2752.754  2220.400  4177.430  
1.126957  1412.517  369.2447  1486.045  574.8325  1586.866  894.8875  1726.376  1393.143  1921.049  2168.816  2194.791  3376.368  2582.419  5256.260  
1.183043  1501.873  397.1500  1590.035  633.4735  1713.172  1010.421  1886.892  1611.670  2134.232  2570.692  2489.348  4100.378  3003.069  6540.302  
1.239130  1592.568  425.7249  1696.874  694.9620  1845.156  1134.470  2058.275  1851.932  2367.641  3023.132  2820.782  4935.023  3489.916  8056.033  
1.295217  1684.571  454.9540  1806.559  759.2982  1982.951  1267.235  2241.040  2114.960  2622.730  3529.774  3192.672  5891.037  4051.083  9831.881  
1.351304  1777.855  484.8230  1919.093  826.4819  2126.686  1408.911  2435.703  2401.782  2900.988  4094.338  3608.763  6979.653  4695.262  11898.27  
1.407391  1872.391  515.3186  2034.474  896.5133  2276.488  1559.688  2642.779  2713.430  3203.935  4720.626  4072.964  8212.598  5431.729  14287.67  
1.463478  1968.155  546.4279  2152.703  969.3923  2432.483  1719.754  2862.783  3050.935  3533.125  5412.520  4589.351  9602.100  6270.357  17034.64  
1.519565  2065.123  578.1393  2273.779  1045.119  2594.793  1889.291  3096.230  3415.325  3890.142  6173.981  5162.164  11160.88  7221.626  20175.84  
1.575652  2163.273  610.4415  2397.703  1123.693  2763.537  2068.480  3343.636  3807.633  4276.599  7009.045  5795.810  12902.16  8296.636  23750.14  
1.631739  2262.583  643.3237  2524.474  1205.115  2938.833  2257.498  3605.516  4228.889  4694.143  7921.823  6494.863  14839.66  9507.119  27798.60  
1.687826  2363.033  676.7761  2654.093  1289.384  3120.796  2456.517  3882.384  4680.122  5144.447  8916.502  7264.059  16987.59  10865.45  32364.53  
1.743913  2464.604  710.7891  2786.560  1376.501  3309.542  2665.708  4174.757  5162.363  5629.214  9997.340  8108.304  19360.67  12384.66  37493.53  
