Den       Rad_G1.5  Mas_G1.5  SOS_G1.5  Rad_G2.0  Mas_G2.0  SOS_G2.0  Rad_G2.5  Mas_G2.5  SOS_G2.5  Rad_G3.0  Mas_G3.0  SOS_G3.0  Rad_G3.5  Mas_G3.5  SOS_G3.5  Rad_G4.0  Mas_G4.0  SOS_G4.0  Rad_G4.5  Mas_G4.5  SOS_G4.5  
0.069670  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  
0.129300  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  
0.189000  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  
0.248700  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  
0.308300  0.610800  11.77000  0.436100  0.610800  11.77000  0.436100  0.610800  11.77000  0.436100  0.610800  11.77000  0.436100  0.610800  11.77000  0.436100  0.610800  11.77000  0.436100  0.610800  11.77000  0.436100  
0.368000  0.735600  11.72000  0.294800  0.735600  11.72000  0.294800  0.735600  11.72000  0.294800  0.735600  11.72000  0.294800  0.735600  11.72000  0.294800  0.735600  11.72000  0.294800  0.735600  11.72000  0.294800  
0.427700  0.805200  11.66000  0.305400  0.805000  11.66000  0.300800  0.804900  11.66000  0.300200  0.804900  11.66000  0.300400  0.805000  11.66000  0.300700  0.805000  11.66000  0.301100  0.805000  11.66000  0.301500  
0.487300  0.855000  11.56000  0.313400  0.859600  11.56000  0.372600  0.864100  11.55000  0.427400  0.868600  11.54000  0.477900  0.873300  11.53000  0.525000  0.878200  11.52000  0.569800  0.883200  11.50000  0.612600  
0.547000  0.891700  11.46000  0.320700  0.915900  11.41000  0.383000  0.944000  11.34000  0.443600  0.976300  11.30000  0.503600  1.012900  11.24000  0.563900  1.053900  11.21000  0.625100  1.099500  11.17000  0.687500  
0.606700  0.919400  11.35000  0.327400  0.963600  11.25000  0.401800  1.018400  11.15000  0.477200  1.084200  11.09000  0.554900  1.161000  11.04000  0.635700  1.248300  11.01000  0.720100  1.345400  10.99000  0.808600  
0.666300  0.940600  11.23000  0.333400  1.005200  11.09000  0.417700  1.088700  10.97000  0.506000  1.190800  10.90000  0.599600  1.310300  10.85000  0.699300  1.444700  10.85000  0.805600  1.590500  10.87000  0.918600  
0.726000  0.957000  11.12000  0.339100  1.041600  10.93000  0.432700  1.153600  10.80000  0.533400  1.291200  10.72000  0.642500  1.450300  10.69000  0.760700  1.624400  10.71000  0.888200  1.806400  10.75000  1.024800  
0.785700  0.969700  10.99000  0.344200  1.073400  10.78000  0.446700  1.212700  10.63000  0.559400  1.382800  10.55000  0.683400  1.575100  10.54000  0.819300  1.778400  10.57000  0.966700  1.981100  10.62000  0.000000  
0.845300  0.979500  10.89000  0.349100  1.101300  10.64000  0.460000  1.265900  10.47000  0.584000  1.464300  10.39000  0.722200  1.682300  10.39000  0.874700  1.903400  10.42000  1.040200  2.112700  10.46000  0.000000  
0.905000  0.987100  10.78000  0.353600  1.125800  10.49000  0.472400  1.313200  10.32000  0.607200  1.535300  10.24000  0.758900  1.771400  10.23000  0.926600  2.000300  10.26000  0.000000  2.205600  10.30000  0.000000  
0.964700  0.993000  10.67000  0.357800  1.147200  10.36000  0.484100  1.355100  10.17000  0.629200  1.596100  10.10000  0.793500  1.843300  10.09000  0.975000  2.072100  10.10000  0.000000  2.266500  10.12000  0.000000  
1.024000  0.997400  10.56000  0.361800  1.165900  10.23000  0.495200  1.391800  10.02000  0.650100  1.647400  9.948000  0.826000  1.899800  9.934000  1.019700  2.122600  9.938000  0.000000  2.302200  9.943000  0.000000  
1.084000  1.000600  10.46000  0.365700  1.182300  10.09000  0.506100  1.423700  9.891000  0.670300  1.689900  9.809000  0.857500  1.942700  9.780000  0.000000  2.155600  9.772000  0.000000  2.318900  9.772000  0.000000  
1.144000  1.002900  10.37000  0.369800  1.196600  9.974000  0.517300  1.451200  9.756000  0.691000  1.724500  9.665000  0.889700  1.974000  9.631000  0.000000  2.174800  9.614000  0.000000  2.321800  9.603000  0.000000  
1.203000  1.004300  10.27000  0.374300  1.209000  9.853000  0.529000  1.474800  9.632000  0.712100  1.752100  9.529000  0.922800  1.995700  9.484000  0.000000  2.183100  9.464000  0.000000  2.314800  9.446000  0.000000  
1.263000  1.005100  10.19000  0.378900  1.219800  9.743000  0.541000  1.494900  9.504000  0.733600  1.773700  9.399000  0.956400  2.009300  9.345000  0.000000  2.183200  9.313000  0.000000  2.300900  9.299000  0.000000  
1.323000  1.005400  10.10000  0.383900  1.229100  9.630000  0.553400  1.511700  9.385000  0.755500  1.789900  9.270000  0.990600  2.016400  9.214000  0.000000  2.177100  9.173000  0.000000  2.282600  9.159000  0.000000  
1.382000  1.005200  10.02000  0.389100  1.237100  9.526000  0.566100  1.525700  9.273000  0.777700  1.801700  9.152000  1.025200  2.018100  9.083000  0.000000  2.166300  9.043000  0.000000  2.261500  9.036000  0.000000  
1.442000  1.004600  9.938000  0.394500  1.243900  9.424000  0.579200  1.537200  9.163000  0.800200  1.809500  9.032000  0.000000  2.015700  8.959000  0.000000  2.152400  8.921000  0.000000  2.238900  8.918000  0.000000  
1.502000  1.003700  9.861000  0.400200  1.249700  9.324000  0.592600  1.546300  9.054000  0.823100  1.814000  8.917000  0.000000  2.009900  8.839000  0.000000  2.136100  8.806000  0.000000  2.215600  8.813000  0.000000  
1.561000  1.002400  9.786000  0.406100  1.254500  9.231000  0.606400  1.553500  8.950000  0.846200  1.815700  8.806000  0.000000  2.001500  8.730000  0.000000  2.118300  8.698000  0.000000  2.192300  8.719000  0.000000  
1.621000  1.001000  9.716000  0.412300  1.258500  9.138000  0.620600  1.558900  8.852000  0.869600  1.815000  8.704000  0.000000  1.991100  8.625000  0.000000  2.099700  8.597000  0.000000  2.169400  8.636000  0.000000  
1.681000  0.999300  9.641000  0.418700  1.261700  9.051000  0.635100  1.562600  8.754000  0.893200  1.812400  8.599000  0.000000  1.979200  8.523000  0.000000  2.080600  8.504000  0.000000  2.147400  8.557000  0.000000  
1.740000  0.997500  9.577000  0.425400  1.264200  8.964000  0.649900  1.565000  8.660000  0.917100  1.808100  8.507000  0.000000  1.966200  8.430000  0.000000  2.061400  8.421000  0.000000  2.126300  8.489000  0.000000  
1.800000  0.995500  9.513000  0.432400  1.266100  8.883000  0.665000  1.566200  8.571000  0.941100  1.802500  8.413000  0.000000  1.952400  8.341000  0.000000  2.042600  8.344000  0.000000  2.106600  8.426000  0.000000  
